title,summary,tags,topic,confidence,low_confidence,compression_ratio,original_length,summary_length
"India / Apr 28, 2026Go for mediation, SC advises Sunjay Kapur kinNEW DELHI: Supreme Courton Monday suggested that parties in the Rani Kapur-Priya Kapur dispute over the Sona Group family trust explore mediation, and sought a response from late industrialist Sunjay Kapur’s wife Priya Kapur and others on a lawsuit", Rani Kapur-Priya Kapur dispute over the Sona Group family trust . Supreme Courton sought a response from late industrialist Sunjay Kapur’s wife and others on a lawsuit . The court has sought the response from the late Kapur's wife Priya and others .,mediation|kapur|sona|advises|2026go,Business,0.3478,True,0.7987,313,250
"India / Apr 28, 2026SC orders abortion of 28-week-old fetus, AIIMS seeks order review"," SC orders abortion of 28-week-old fetus, AIIMS seeks order review . AIIMs seeks review of the order by the SCOTUS . India's Supreme Court has ordered an abortion of the unborn child at 28 weeks old . The case is the first of its kind in the country .",abortion|2026sc|orders|aiims|review,Politics,0.3434,True,2.9529,85,251
"India / Apr 28, 2026Quitting a live-in relationship is not a criminal offence: SC"," Quitting a live-in relationship is not a criminal offence: SC . India / Apr 28, 2026, India / 2026. India / Mar 28,2026. Quit a live in relationship not an offence, says SC .",relationship|2026quitting|offence|sc|live,Technology,0.277,True,2.1605,81,175
"India / Apr 28, 2026Warning shots fired at tanker with 17 IndiansNew Delhi: The Iranian Coast Guard had Saturday fired ""warning shots"" at a Togo-flagged chemical tanker, MT Chiron 7, which had 17 India seafarers, a shipping ministry official said. He added that all Indian crew in this ship are safe. This is the"," Iranian Coast Guard had fired ""warning shots"" at a Togo-flagged chemical tanker, MT Chiron 7, which had 17 India seafarers . All Indian crew in this ship are safe, says shipping ministry official . The tanker had 17 Indian seafarers on board .",tanker|2026warning|chiron|delhi|flagged,Technology,0.2988,True,0.7821,312,244
"India / Apr 28, 2026Rights of victim as important as those of accused, says SC"," Rights of victim as important as those of accused, says SC . India / Apr 28, 2026. India / India / 2026 . India/2026. SC: Victims' rights are important as they are accused's rights, say SC .",accused|2026rights|india|important|28,Politics,0.3413,True,2.4487,78,191
"India / Apr 28, 2026'Have enough fuel stocks, no need to import'"," 'Have enough fuel stocks, no need to import,' says India . India's fuel stocks have 'enough fuel stocks' to fuel the country's economy . 'No need for fuel imports' says India's chief minister . 'There's no need for import,' he says .",india|fuel|2026|import|stocks,Business,0.4577,True,3.6562,64,234
"India / Apr 28, 2026'Sub-standard drug':Retd HAL staff gets HC relief after 14 yrs"," Pinto Deepak - Legal Correspondent for The Times of India, Hyderabad . Formerly reported on crime in Telangana, including high-profile and violent cases . Now focused on legal developments, constitutional issues, and judicial accountability in the state’s top courts .",judicial|telangana|pinto|developments|covering,Technology,0.2725,True,0.368,731,269
Assembly Election 2026, Didi most likely to loose power. No doubt she is doing a goonda raj and don't care about innocent public. Let the army sRead more . Let's army s read more. Let's hope she is not going to lose power.,didi|goonda|innocent|likely|public,Politics,0.7181,False,1.5426,129,199
Bhubaneswar Rape news," Debabrata Mohapatra is an Assistant Editor at The Times of India, Bhubaneswar . He covers crime, law &amp; order and Congress . He had been writing for TOI from Puri since 2006 before joining the Bhubanewar bureau in August 2010 .",mohapatra|debabrata|editor|puri|crime,Politics,0.2906,True,0.4863,475,231
ICSE ISC results Date," Sanjay Sharma is a seasoned journalist with over two decades of experience in the media industry . Currently serving as Assistant Editor - Education at TimesofIndia.com . He specializes in education-related content, including board results, job notifications, and studying abroad . Previously held leadership positions in sports journalism, covering high-profile events such as the Cricket World Cup and Olympics .",journalism|sanjay|timesofindia|notifications|played,Technology,0.2961,True,0.3005,1381,415
"03:25 Four Killed, 70 Hurt As Taliban Blames Pak Strikes, Peace Hopes Shaken", Anwar Gargash openly criticised fellow Gulf states for weak response to Iran's retaliatory strikes . His remarks signaled visible frustration within the Gulf bloc at a moment when regional coordination is being closely watched . A tense and high-profile exchange unfolded on CBS’s 60 Minutes as President Donald Trump sat down for an interview with journalist Norah O’Donnell just hours after a shooting incident .,rhetoric|abu|rebuke|minutes|unusually,Politics,0.7649,False,0.3584,1158,415
12:25NDA Nears 2/3 Majority As NDA Numbers Swell in Rajya Sabha After AAP Exodus," The White House has described the critical “seconds” between a recent breach and rapid lockdown, highlighting how quickly security forces moved to neutralize the situation . The administration also pointed to rising political rhetoric as a growing concern linked to increasing threats . The DOJ and FBI have been praised for releasing verified facts to counter misinformation .",putin|lockdown|resistance|neutralize|axis,Politics,0.5098,True,0.281,1345,378
14:12'Party Of Billionaires': Congress Attacks AAP After 7 Rajya Sabha MPs Join BJP," The National Democratic Alliance has strengthened its Rajya Sabha position after an exodus of Aam Aadmi Party MPs led by Raghav Chadha . NDA strength has risen to 148, while AAP is down to 3, and BJP now holds 113 seats . With more vacancies ahead, BJP eyes further gains toward a majority .",bjp|nda|fragmented|pradip|backing,Politics,0.7696,False,0.2541,1149,292
04:57Iran Attacks Togo-Flagged Tanker With 17 Indian Seafarers Near Oman; All Safe," Raghav Chadha and multiple AAP Rajya Sabha MPs have joined the BJP, triggering a major political and legal showdown . AAP plans to seek their disqualification under the anti-defection law, but the MPs are invoking the “merger clause,” claiming support from two-thirds of the legislature party .",bjp|raghav|merger|buckingham|stop,Politics,0.8575,False,0.2962,996,295
